|autor|ciudades|conteo_retweets|empresas|fecha_creacion|palabras_clave|texto
0|margacontreras1||0|Electricaribe|Tue Sep 04 06:37:50 +0000 2018|Sin luz|@ElectricaribeSA  no saben como nos encanta dormir sin luz en chiriguaná😠😠😠😠
0|bryan_excobar||0|Electricaribe|Tue Sep 04 07:08:57 +0000 2018|Sin luz|Que Monda ahora sin luz @ElectricaribeSA coman monda
0|Nonkapisco||0|Electricaribe|Mon Sep 10 17:08:44 +0000 2018|Sin energia|@CNNEE En la costa caribe colombiana en cambio, el huracán @ElectricaribeSA deja sin energia a la región casi a diario
0|pacos7836||1|Electricaribe|Fri Sep 14 16:26:52 +0000 2018|Sin energía|RT @alex86010: Desde ya un gran aplauso para @ElectricaribeSA, ya me enteré que este domingo nuevamente el barrio Gaitan sin energía eléctr…
0|ColombiaFlash|Bogotá|0||Fri Sep 14 16:40:56 +0000 2018|Sin energía|Los barrios de #Bogotá que se quedarán sin energía este viernes 13 ... :...https://t.co/lGJA85WrAF
0|LuisferTeclados||0|EMCALI|Fri Sep 14 17:34:31 +0000 2018|Sin energía|@EMCALIoficial Villa del Prado sin energía aún. ¿Qué está pasando?
0|Valledupar_Co||2|Electricaribe|Fri Sep 14 17:39:24 +0000 2018|Sin energía|RT @alex86010: Desde ya un gran aplauso para @ElectricaribeSA, ya me enteré que este domingo nuevamente el barrio Gaitan sin energía eléctr…
0|jagamboa83||0|EMCALI|Fri Sep 14 17:59:57 +0000 2018|Sin energía|Que vergüenza @EMCALIoficial  con una llovizna se queda la ciudad sin energía por más de medio día @elpaiscali , pesimo servicio
0|DaniloGutiB||0|Emsa|Fri Sep 14 18:04:39 +0000 2018|Sin luz|@emsa_esp qué pasa con el servicio? Va y viene y ahora está intermitente. Estamos sin luz desde hace más de una hora. Zona del panorama
0|Steffanyperez13||0|EMCALI|Fri Sep 14 18:09:11 +0000 2018|Sin energia|@EMCALIoficial Unicentro sin energia...
0|geraldine__diaz||0|Codensa|Fri Sep 14 18:17:41 +0000 2018|Sin luz|Señores @CodensaEnergia todo el día sin luz?? Respondan, necesitamos trabajar!
0|Dianacpintov| Cali |0|EMCALI|Fri Sep 14 18:22:51 +0000 2018|Sin energía|@EMCALIoficial Buenas tardes, en la comuna 5 de Cali estamos sin energía desde las 9:30am, se demora mucho en regresar el servicio? GRACIAS
0|dadaisland||0|Electricaribe|Fri Sep 14 18:27:33 +0000 2018|Sin luz|@ElectricaribeSA otra vez sin luz en la calle San Juan de Dios! Porfavor arreglar
0|velascoluisf||0|EMCALI|Fri Sep 14 19:06:09 +0000 2018|Sin energía|Señores @EMCALIoficial @ServiciosEmcali , sigue Pance sin energía eléctrica desde anoche. Con respeto, podrían darn… https://t.co/jMLClTDgJz
0|DonJuliosaldana||2|EMCALI|Fri Sep 14 19:21:04 +0000 2018|Sin energía|RT @velascoluisf: Señores @EMCALIoficial @ServiciosEmcali , sigue Pance sin energía eléctrica desde anoche. Con respeto, podrían darnos la…
0|juliannogales||1|EMCALI|Fri Sep 14 19:38:04 +0000 2018|Sin energia|RT @Steffanyperez13: @EMCALIoficial Unicentro sin energia...
0|Jorpaso33| Cali |0||Fri Sep 14 19:53:46 +0000 2018|Sin energía|Urraaa 14 horas sin energía en Cali en el sector de la Viga. No hay acueducto, no hay alcantarillado,  no hay vias… https://t.co/5LmJfdIRtK
1|IngritaSa||0|EMCALI|Fri Sep 14 19:54:12 +0000 2018|Sin energía|Señores de @EMCALIoficial , Pance esta sin energía eléctrica desde anoche, por favor hagan algo.
0|SobredosisKisMe||0|EMCALI|Fri Sep 14 20:11:16 +0000 2018|Sin luz|@EMCALIoficial Barrio Junín sin luz diagonal a la fábrica de don rico para cuando solucionan el problema no se ha ni podido hacer almuerzo !
0|jonnyguerra2009||3|Electricaribe|Fri Sep 14 20:27:53 +0000 2018|Sin energía|RT @alex86010: Desde ya un gran aplauso para @ElectricaribeSA, ya me enteré que este domingo nuevamente el barrio Gaitan sin energía eléctr…
1|LuzAn22||0|EMCALI|Fri Sep 14 20:32:06 +0000 2018|Sin energia|@EMCALIoficial Sector Holguines Trade Center sin energia aun
2|Vam201319||0|EMCALI|Fri Sep 14 20:33:14 +0000 2018|Sin energia|@EMCALIoficial mas de 8 horas sin energia en Ciudad Jardin, cuanto mas tenemos que esperar, SEAN SERIOS!!!
3|Maleariashdz||0|Codensa|Fri Sep 14 20:59:49 +0000 2018|Sin energía|@CodensaEnergia ciudad salitre oriental sin energía hace más de media hora, ¿qué pasa?
4|ikevin92||0|EMCALI|Fri Sep 14 21:04:29 +0000 2018|Sin energía|@EMCALIoficial Sin energía aun en la comuna 5 van 6 horas sin servicio
5|gbuitragohn||0|Codensa|Fri Sep 14 21:06:01 +0000 2018|Corte de energía|@CodensaEnergia @saturnaxe Se demora la solución al corte de energía del sector salitre?
6|piedadfe||0|EMCALI|Fri Sep 14 21:09:21 +0000 2018|Sin energía|@EMCALIoficial Mentirosos , la Viga Pance lleva 12 horas sin energía , no engañen
7|piedadfe||0|EMCALI|Fri Sep 14 21:11:30 +0000 2018|Sin energía|@EMCALIoficial Ineptos y mentirosos , la Viga -Pance sin energía hace 12 horas y ayer 9 horas , que eficiencia de mermelados
8|julianeberon||0|EMCALI|Fri Sep 14 21:15:12 +0000 2018|Sin energía|@ServiciosEmcali Ya vamos a completar 24 horas sin energía eléctrica en sector de Ciudad Jardín. Ninguna respuesta… https://t.co/aANRQDy5XU
0|valu_1919||0|Codensa|Fri Sep 14 21:26:34 +0000 2018|Sin luz|Señores @CodensaEnergia ¡SIGO SIN LUZ! 😠
